0 -2686683145 -78194988
1 -2667007262 -68325258
2 -2677334629 -51278714
3 -2673670915 -80256387
4 -2693379892 -84486251
5 -2692645129 -42213238
6 -2687509614 -76603549
7 -2680792285 -87336408
8 -2681474616 -80012514
9 -2679332807 -81958510
0 -2696951323 -75918131
1 -2676891181 -71682014
2 -2683950748 -69032475
3 -2685788589 -99827858
4 -2694600472 -64530554
5 -2661496242 -66541629
6 -2701898250 -54129063
7 -2665519865 -82742033
8 -2686243533 -72985464
9 -2674086507 -76064303
10 -2685428591 -79034533
11 -2695912948 -67348461
12 -2686040097 -71476381
13 -2684890831 -61739159
14 -2678279433 -91801912
15 -2665674789 -78000068
16 -2673371682 -72038823
17 -2669793605 -71133148
18 -2687854290 -67040939
19 -2673366397 -72160588
20 -2691363936 -57365301
21 -2700528108 -54747227
22 -2684531738 -48531279
23 -2685473872 -79784628
24 -2674198674 -71908638
25 -2677398495 -61207364
26 -2685558231 -71150064
27 -2709029623 -76776164
28 -2671611965 -99719006
29 -2689977649 -67666058
30 -2667312205 -42123401
31 -2668643693 -74464985
32 -2690335139 -53297327
33 -2680175352 -66302492
34 -2675058864 -44411212
35 -2681531701 -87639450
36 -2702317509 -80731095
37 -2689043688 -72079366
38 -2686419029 -74800289
39 -2707407187 -62358631
40 -2691190435 -54805807
41 -2686127237 -75233140
42 -2667118729 -63804330
43 -2668058035 -81062681
44 -2675755550 -84958524
45 -2676818686 -72052421
46 -2697694245 -55915459
47 -2676697084 -67331263
48 -2683905638 -63179136
49 -2676846707 -81919274
50 -2711972423 -68939074
51 -2692141290 -88599295
52 -2662307636 -77479256
53 -2684079224 -75466874
54 -2676934177 -60299357
55 -2677756449 -62752310
56 -2687230117 -65351896
57 -2666222211 -58915774
58 -2707978213 -73159576
59 -2696422170 -62956416
60 -2685406631 -95213504
61 -2691262113 -77477943
62 -2699118788 -61709817
63 -2677664750 -54679566
64 -2675549716 -82590406
65 -2693460456 -57527519
66 -2681424837 -61199053
67 -2695830810 -54047402
68 -2670265726 -88255576
69 -2685338423 -65908688
70 -2676895150 -61270875
71 -2687775245 -43826581
72 -2688297258 -68299386
73 -2686482800 -59325415
74 -2683425002 -67434443
75 -2673093194 -77023986
76 -2681928861 -82562265
77 -2669168549 -77678482
78 -2690989405 -79602323
79 -2676201715 -66106498
80 -2683892235 -66264995
81 -2678580097 -68700636
82 -2691253965 -73737481
83 -2649055872 -89477408
84 -2699530925 -56133412
85 -2704928543 -59048723
86 -2677075183 -63741906
87 -2665014547 -66241470
88 -2682558349 -88567664
89 -2673211766 -60797536
90 -2687802848 -92709173
91 -2652886316 -85864764
92 -2677020913 -77037551
93 -2672612016 -87379928
